IV1_race,IV2_diagnosis,condition,socialdistance_1,socialdistance_2,socialdistance_3,blame_1,blame_2,blame_3,danger_1,danger_2,danger_3,concern_1,concern_2,concern_3,help_1,help_2,gender,age,ethnicity,community,political_affiliation,contact_homeless,social_desirability,socialdistanceR1,socialdistanceR2,socialdistanceR3,Distance_mean,blameR3,Blamemean,danger_mean,concernR1,ConcernR2,ConcernR3,Concern_mean,helpR1,helpR2,Help_Mean
1,1,1,7,7,7,2,2,6,1,1,1,5,5,7,7,4,1,-1.03205586920867,2,2,3,5,10,1,1,1,-1.64612744433201,2,2,1,3,3,1,2.33333333333333,1,4,2.5
1,1,1,6,7,7,3,2,5,1,1,1,5,5,6,5,4,2,-0.909755899810721,1,2,1,3,7,2,1,1,-1.38024462672019,3,2.66666666666667,1,3,3,2,2.66666666666667,3,4,3.5
1,1,1,3,5,6,2,1,7,2,1,1,5,6,6,4,3,2,-0.970905884509695,2,2,2,2,0,5,3,2,0.215052278950735,1,1.33333333333333,1.33333333333333,3,2,2,2.33333333333333,4,5,4.5
1,1,1,5,6,6,6,4,4,2,1,2,1,2,3,6,6,1,0.557843732964663,2,2,3,3,10,3,2,2,-0.582596173884728,4,4.66666666666667,1.66666666666667,7,6,5,6,2,2,2
1,1,1,4,7,7,2,2,5,2,2,1,7,7,7,2,1,2,0.129793840071843,5,2,1,1,4,4,1,1,-0.848478991496546,3,2.33333333333333,1.66666666666667,1,1,1,1,6,7,6.5
1,1,1,4,5,5,4,3,4,4,4,4,5,5,6,2,2,2,0.863593656459535,2,2,3,1,8,4,3,3,0.215052278950735,4,3.66666666666667,4,3,3,2,2.66666666666667,6,6,6
1,1,1,7,7,6,4,3,6,1,2,1,7,7,7,4,6,2,-0.909755899810721,2,1,1,4,4,1,1,2,-1.38024462672019,2,3,1.33333333333333,1,1,1,1,4,2,3
1,1,1,7,6,7,4,3,4,1,1,1,4,3,1,6,5,1,-0.970905884509695,2,1,1,3,8,1,2,1,-1.38024462672019,4,3.66666666666667,1,4,5,7,5.33333333333333,2,3,2.5
1,1,1,4,6,5,3,3,5,4,3,4,3,6,5,7,6,2,-0.298256052820978,3,3,2,2,5,4,2,3,-0.0508305386610833,3,3,3.66666666666667,5,2,3,3.33333333333333,1,2,1.5
1,1,1,5,4,6,2,2,6,2,4,2,5,6,6,4,3,2,-0.909755899810721,2,1,1,2,5,3,4,2,-0.0508305386610833,2,2,2.66666666666667,3,2,2,2.33333333333333,4,5,4.5
1,1,1,7,6,7,1,1,2,1,1,1,4,5,5,6,5,2,-0.481706006917901,2,2,2,3,11,1,2,1,-1.38024462672019,6,2.66666666666667,1,4,3,3,3.33333333333333,2,3,2.5
1,1,1,7,7,7,1,2,6,1,2,1,4,4,3,7,4,2,-0.848605915111746,2,2,2,2,5,1,1,1,-1.64612744433201,2,1.66666666666667,1.33333333333333,4,4,5,4.33333333333333,1,4,2.5
1,1,1,5,2,7,4,3,4,3,4,4,7,7,7,7,4,2,-0.0536561140250803,3,2,2,4,10,3,6,1,0.215052278950735,4,3.66666666666667,3.66666666666667,1,1,1,1,1,4,2.5
1,1,1,4,3,5,1,1,7,3,3,2,7,7,7,3,2,2,-0.787455930412772,2,1,1,2,9,4,5,3,0.74681791417438,1,1,2.66666666666667,1,1,1,1,5,6,5.5
1,1,1,6,6,7,2,2,6,2,5,2,7,6,7,3,2,3,-0.909755899810721,2,1,1,2,4,2,2,1,-1.11436180910836,2,2,3,1,2,1,1.33333333333333,5,6,5.5
1,1,1,5,6,5,3,2,5,2,3,2,7,7,7,5,7,2,0.985893625857483,2,1,1,3,3,3,2,3,-0.316713356272902,3,2.66666666666667,2.33333333333333,1,1,1,1,3,1,2
1,1,1,4,5,7,3,2,2,5,4,4,5,5,7,5,5,2,0.37439377886774,1,2,2,3,6,4,3,1,-0.316713356272902,6,3.66666666666667,4.33333333333333,3,3,1,2.33333333333333,3,3,3
1,1,1,7,7,6,1,2,6,3,2,2,7,7,3,7,7,2,-0.787455930412772,1,2,1,2,10,1,1,2,-1.38024462672019,2,1.66666666666667,2.33333333333333,1,1,5,2.33333333333333,1,1,1
1,1,1,6,7,7,1,1,7,1,1,1,7,7,1,7,7,2,1.16934357995441,2,2,1,4,6,2,1,1,-1.38024462672019,1,1,1,1,1,7,3,1,1,1
1,1,1,6,6,6,1,1,6,2,2,1,5,6,7,5,6,2,1.04704361055646,1,2,2,1,9,2,2,2,-0.848478991496546,2,1.33333333333333,1.66666666666667,3,2,1,2,3,2,2.5
1,1,1,7,6,7,2,1,6,1,3,1,4,5,4,4,4,2,-0.909755899810721,4,2,1,2,5,1,2,1,-1.38024462672019,2,1.66666666666667,1.66666666666667,4,3,4,3.66666666666667,4,4,4
1,1,1,6,5,6,1,1,7,2,2,2,7,7,5,7,6,1,-0.909755899810721,4,2,1,3,3,2,3,2,-0.582596173884728,1,1,2,1,1,3,1.66666666666667,1,2,1.5
1,1,1,6,5,6,2,2,6,2,2,2,5,6,6,5,5,1,-0.0536561140250803,2,1,1,2,3,2,3,2,-0.582596173884728,2,2,2,3,2,2,2.33333333333333,3,3,3
1,1,1,7,2,5,4,4,4,1,1,1,4,5,7,5,6,1,0.37439377886774,2,1,1,3,8,1,6,3,0.215052278950735,4,4,1,4,3,1,2.66666666666667,3,2,2.5
1,1,1,5,6,5,1,2,6,2,3,2,7,6,7,7,4,2,-0.970905884509695,2,2,2,2,5,3,2,3,-0.316713356272902,2,1.66666666666667,2.33333333333333,1,2,1,1.33333333333333,1,4,2.5
1,1,1,5,5,5,1,1,6,2,2,1,7,7,7,5,4,2,-0.848605915111746,2,4,1,5,8,3,3,3,-0.0508305386610833,2,1.33333333333333,1.66666666666667,1,1,1,1,3,4,3.5
1,1,1,5,5,7,3,2,6,2,3,2,6,6,7,7,6,2,0.863593656459535,1,2,1,3,9,3,3,1,-0.582596173884728,2,2.33333333333333,2.33333333333333,2,2,1,1.66666666666667,1,2,1.5
1,1,1,6,3,4,4,3,4,4,1,4,4,5,4,5,4,2,-0.114806098724055,1,2,2,4,8,2,5,4,0.480935096562562,4,3.66666666666667,3,4,3,4,3.66666666666667,3,4,3.5
1,1,1,5,4,6,2,2,6,3,4,2,6,6,6,3,3,2,1.10819359525543,2,3,1,1,1,3,4,2,-0.0508305386610833,2,2,3,2,2,2,2,5,5,5
1,1,1,7,3,5,3,3,5,2,4,3,5,5,6,4,3,2,-0.787455930412772,2,1,1,2,3,1,5,3,-0.0508305386610833,3,3,3,3,3,2,2.66666666666667,4,5,4.5
1,1,1,6,5,5,2,2,6,2,2,2,6,6,6,7,5,2,-0.909755899810721,1,1,2,5,10,2,3,3,-0.316713356272902,2,2,2,2,2,2,2,1,3,2
1,1,1,5,5,4,1,1,7,2,6,1,6,6,6,3,2,2,-0.909755899810721,2,1,1,4,0,3,3,4,0.215052278950735,1,1,3,2,2,2,2,5,6,5.5
1,1,1,5,3,4,4,3,4,3,2,3,7,7,5,5,4,2,0.924743641158509,1,4,1,1,9,3,5,4,0.74681791417438,4,3.66666666666667,2.66666666666667,1,1,3,1.66666666666667,3,4,3.5
1,2,2,6,4,6,4,3,4,2,4,2,4,5,6,7,6,2,0.252093809469791,1,1,2,7,4,2,4,2,-0.316713356272902,4,3.66666666666667,2.66666666666667,4,3,2,3,1,2,1.5
1,2,2,7,5,6,2,2,3,1,3,1,3,5,5,5,2,1,1.29164354935235,1,1,2,1,6,1,3,2,-0.848478991496546,5,3,1.66666666666667,5,3,3,3.66666666666667,3,6,4.5
1,2,2,4,3,7,1,2,6,2,5,2,7,6,7,5,2,2,-0.848605915111746,2,3,2,1,3,4,5,1,0.215052278950735,2,1.66666666666667,3,1,2,1,1.33333333333333,3,6,4.5
1,2,2,4,4,7,5,4,3,3,4,4,5,6,6,4,3,1,0.129793840071843,2,2,1,3,6,4,4,1,-0.0508305386610833,5,4.66666666666667,3.66666666666667,3,2,2,2.33333333333333,4,5,4.5
1,2,2,6,5,6,2,2,6,4,4,3,7,7,7,6,6,2,-0.787455930412772,2,1,1,3,3,2,3,2,-0.582596173884728,2,2,3.66666666666667,1,1,1,1,2,2,2
1,2,2,3,2,5,3,2,6,5,5,6,5,5,5,4,2,1,-0.909755899810721,3,1,1,3,9,5,6,3,1.27858354939802,2,2.33333333333333,5.33333333333333,3,3,3,3,4,6,5
1,2,2,4,5,5,3,3,3,2,2,2,3,4,6,5,3,1,1.84199341164312,2,2,2,1,7,4,3,3,0.215052278950735,5,3.66666666666667,2,5,4,2,3.66666666666667,3,5,4
1,2,2,4,3,7,3,2,6,4,4,4,1,6,7,7,3,2,-0.848605915111746,3,1,1,6,10,4,5,1,0.215052278950735,2,2.33333333333333,4,7,2,1,3.33333333333333,1,5,3
1,2,2,3,2,4,2,2,2,3,3,4,7,7,7,4,2,2,0.924743641158509,2,2,1,3,6,5,6,4,1.54446636700984,6,3.33333333333333,3.33333333333333,1,1,1,1,4,6,5
1,2,2,4,5,3,4,3,4,2,5,4,6,5,7,2,3,1,0.80244367176056,2,2,1,1,6,4,3,5,0.74681791417438,4,3.66666666666667,3.66666666666667,2,3,1,2,6,5,5.5
1,2,2,1,4,4,5,4,2,4,3,3,5,3,7,4,3,1,1.04704361055646,6,1,2,2,12,7,4,4,1.54446636700984,6,5,3.33333333333333,3,5,1,3,4,5,4.5
1,2,2,3,4,4,4,3,4,4,4,4,5,4,6,4,4,2,-0.848605915111746,2,2,3,4,10,5,4,4,1.0127007317862,4,3.66666666666667,4,3,4,2,3,4,4,4
1,2,2,5,3,6,1,1,6,3,2,1,5,4,5,3,2,2,-0.787455930412772,3,1,1,2,4,3,5,2,0.215052278950735,2,1.33333333333333,2,3,4,3,3.33333333333333,5,6,5.5
1,2,2,4,3,4,3,3,4,4,5,4,7,7,7,5,4,1,1.47509350344928,2,2,2,2,9,4,5,4,1.0127007317862,4,3.33333333333333,4.33333333333333,1,1,1,1,3,4,3.5
1,2,2,6,6,7,1,1,7,1,1,1,7,7,7,6,6,2,0.129793840071843,2,2,1,5,9,2,2,1,-1.11436180910836,1,1,1,1,1,1,1,2,2,2
1,2,2,5,7,7,1,1,7,1,1,1,7,7,7,7,7,2,1.59739347284723,3,1,1,0,12,3,1,1,-1.11436180910836,1,1,1,1,1,1,1,1,1,1
1,2,2,4,2,6,5,4,3,3,5,2,7,6,6,5,2,2,-0.665155961014824,2,2,3,3,9,4,6,2,0.74681791417438,5,4.66666666666667,3.33333333333333,1,2,2,1.66666666666667,3,6,4.5
1,2,2,7,7,7,2,1,1,6,2,1,7,7,7,6,7,2,-0.604005976315849,2,1,1,3,5,1,1,1,-1.64612744433201,7,3.33333333333333,3,1,1,1,1,2,1,1.5
1,2,2,5,5,6,1,1,7,5,2,1,5,7,6,7,7,2,0.924743641158509,4,2,2,2,7,3,3,2,-0.316713356272902,1,1,2.66666666666667,3,1,2,2,1,1,1
1,2,2,3,1,1,5,4,2,5,2,4,4,4,6,2,1,1,0.863593656459535,1,1,2,1,11,5,7,7,2.60799763745712,6,5,3.66666666666667,4,4,2,3.33333333333333,6,7,6.5
1,2,2,5,6,7,1,1,7,2,4,1,7,7,7,4,4,1,-0.909755899810721,2,2,1,2,6,3,2,1,-0.848478991496546,1,1,2.33333333333333,1,1,1,1,4,4,4
1,2,2,6,7,5,4,3,4,4,4,4,4,6,7,5,5,2,-0.848605915111746,2,2,1,2,6,2,1,3,-0.848478991496546,4,3.66666666666667,4,4,2,1,2.33333333333333,3,3,3
1,2,2,6,6,7,1,1,7,2,2,2,7,7,7,6,3,2,0.924743641158509,2,2,1,2,9,2,2,1,-1.11436180910836,1,1,2,1,1,1,1,2,5,3.5
1,2,2,6,3,4,4,2,4,4,2,3,5,4,7,5,2,2,-0.970905884509695,2,1,1,5,8,2,5,4,0.480935096562562,4,3.33333333333333,3,3,4,1,2.66666666666667,3,6,4.5
1,2,2,6,4,5,1,2,6,2,4,2,7,6,5,6,5,2,-0.909755899810721,1,2,1,3,10,2,4,3,-0.0508305386610833,2,1.66666666666667,2.66666666666667,1,2,3,2,2,3,2.5
1,2,2,5,3,4,5,3,4,3,4,4,6,4,6,5,5,2,0.924743641158509,1,2,1,2,11,3,5,4,0.74681791417438,4,4,3.66666666666667,2,4,2,2.66666666666667,3,3,3
1,2,2,2,7,4,4,4,4,3,1,2,3,3,5,4,6,1,-0.848605915111746,1,3,2,5,5,6,1,4,0.480935096562562,4,4,2,5,5,3,4.33333333333333,4,2,3
1,2,2,3,3,5,5,4,3,5,5,5,3,3,5,3,3,1,1.23049356465338,6,3,2,4,7,5,5,3,1.0127007317862,5,4.66666666666667,5,5,5,3,4.33333333333333,5,5,5
1,2,2,4,4,6,2,2,6,3,4,4,7,7,6,3,4,2,1.10819359525543,2,2,1,2,7,4,4,2,0.215052278950735,2,2,3.66666666666667,1,1,2,1.33333333333333,5,4,4.5
1,2,2,5,3,4,4,3,4,5,7,4,5,4,6,2,3,2,0.924743641158509,3,2,2,1,1,3,5,4,0.74681791417438,4,3.66666666666667,5.33333333333333,3,4,2,3,6,5,5.5
1,2,2,7,6,7,2,2,6,1,2,1,6,6,7,6,4,2,1.29164354935235,1,2,1,3,12,1,2,1,-1.38024462672019,2,2,1.33333333333333,2,2,1,1.66666666666667,2,4,3
1,2,2,4,2,4,2,2,5,1,1,2,7,7,7,6,4,2,1.59739347284723,1,2,2,4,10,4,6,4,1.27858354939802,3,2.33333333333333,1.33333333333333,1,1,1,1,2,4,3
1,2,2,6,3,7,2,2,6,3,2,2,5,6,7,7,6,2,1.47509350344928,2,2,2,3,7,2,5,1,-0.316713356272902,2,2,2.33333333333333,3,2,1,2,1,2,1.5
1,3,3,4,4,4,5,4,6,5,3,5,3,3,5,3,6,2,0.0686438553728684,1,2,2,1,7,4,4,4,0.74681791417438,2,3.66666666666667,4.33333333333333,5,5,3,4.33333333333333,5,2,3.5
1,3,3,3,4,2,2,1,7,7,2,6,7,2,6,3,5,2,0.924743641158509,1,2,2,2,7,5,4,6,1.54446636700984,1,1.33333333333333,5,1,6,2,3,5,3,4
1,3,3,6,5,6,7,4,2,1,3,4,5,4,5,5,6,1,1.4139435187503,1,2,2,4,9,2,3,2,-0.582596173884728,6,5.66666666666667,2.66666666666667,3,4,3,3.33333333333333,3,2,2.5
1,3,3,2,7,2,1,1,7,4,3,3,3,4,7,2,2,2,-0.909755899810721,1,1,2,5,4,6,1,6,1.0127007317862,1,1,3.33333333333333,5,4,1,3.33333333333333,6,6,6
1,3,3,5,7,4,1,1,7,3,2,3,7,7,6,3,3,1,0.313243794168766,2,1,1,3,1,3,1,4,-0.316713356272902,1,1,2.66666666666667,1,1,2,1.33333333333333,5,5,5
1,3,3,6,3,6,1,1,7,2,2,1,6,6,5,5,2,1,-0.848605915111746,2,2,1,1,10,2,5,2,-0.0508305386610833,1,1,1.66666666666667,2,2,3,2.33333333333333,3,6,4.5
1,3,3,5,3,5,1,1,7,3,3,3,3,7,7,7,5,2,-0.787455930412772,1,3,2,3,7,3,5,3,0.480935096562562,1,1,3,5,1,1,2.33333333333333,1,3,2
1,3,3,4,4,4,2,3,4,5,3,4,4,4,5,6,5,2,0.924743641158509,5,3,2,7,10,4,4,4,0.74681791417438,4,3,4,4,4,3,3.66666666666667,2,3,2.5
1,3,3,4,4,3,1,1,7,4,4,4,4,7,7,5,5,2,1.71969344224518,3,2,3,1,6,4,4,5,1.0127007317862,1,1,4,4,1,1,2,3,3,3
1,3,3,5,7,5,2,2,5,3,1,4,4,4,5,4,6,2,-0.848605915111746,3,3,2,4,6,3,1,3,-0.582596173884728,3,2.33333333333333,2.66666666666667,4,4,3,3.66666666666667,4,2,3
1,3,3,4,6,6,1,3,7,4,3,1,7,5,4,2,1,2,-0.909755899810721,2,3,1,2,10,4,2,2,-0.316713356272902,1,1.66666666666667,2.66666666666667,1,3,4,2.66666666666667,6,7,6.5
1,3,3,5,5,5,4,3,4,4,7,5,7,5,7,5,6,2,1.71969344224518,2,2,2,3,8,3,3,3,-0.0508305386610833,4,3.66666666666667,5.33333333333333,1,3,1,1.66666666666667,3,2,2.5
1,3,3,3,5,4,1,1,7,6,4,3,7,6,7,1,1,1,-0.0536561140250803,1,1,3,2,7,5,3,4,0.74681791417438,1,1,4.33333333333333,1,2,1,1.33333333333333,7,7,7
1,3,3,6,6,7,2,1,7,3,2,2,5,5,6,7,6,2,-0.114806098724055,2,3,1,1,8,2,2,1,-1.11436180910836,1,1.33333333333333,2.33333333333333,3,3,2,2.66666666666667,1,2,1.5
1,3,3,7,7,7,1,1,7,3,3,4,5,7,7,7,5,2,-0.848605915111746,3,2,1,3,7,1,1,1,-1.64612744433201,1,1,3.33333333333333,3,1,1,1.66666666666667,1,3,2
1,3,3,7,7,7,1,1,7,2,1,1,7,7,7,6,6,2,-0.970905884509695,2,2,1,1,4,1,1,1,-1.64612744433201,1,1,1.33333333333333,1,1,1,1,2,2,2
1,3,3,5,4,6,2,1,7,2,4,2,5,6,7,5,3,1,-0.909755899810721,2,1,1,3,4,3,4,2,-0.0508305386610833,1,1.33333333333333,2.66666666666667,3,2,1,2,3,5,4
1,3,3,5,5,7,1,1,7,2,5,2,7,7,7,3,3,1,-0.848605915111746,2,1,1,5,5,3,3,1,-0.582596173884728,1,1,3,1,1,1,1,5,5,5
1,3,3,5,6,5,1,1,7,3,3,1,7,7,7,6,4,2,0.741293687061586,2,2,2,2,9,3,2,3,-0.316713356272902,1,1,2.33333333333333,1,1,1,1,2,4,3
1,3,3,3,2,3,3,3,5,5,6,6,4,5,7,3,1,2,-1.03205586920867,3,2,1,2,6,5,6,5,1.81034918462166,3,3,5.66666666666667,4,3,1,2.66666666666667,5,7,6
1,3,3,4,5,4,2,1,7,4,5,4,5,5,6,4,2,2,-0.787455930412772,3,3,1,2,8,4,3,4,0.480935096562562,1,1.33333333333333,4.33333333333333,3,3,2,2.66666666666667,4,6,5
1,3,3,7,5,5,1,1,7,4,1,2,7,7,7,7,6,2,0.37439377886774,1,1,3,3,8,1,3,3,-0.582596173884728,1,1,2.33333333333333,1,1,1,1,1,2,1.5
1,3,3,5,5,4,1,1,1,5,4,3,7,7,7,3,3,2,-0.787455930412772,2,1,1,6,5,3,3,4,0.215052278950735,7,3,4,1,1,1,1,5,5,5
1,3,3,5,6,6,1,1,7,2,2,2,7,7,7,6,2,1,1.10819359525543,2,2,3,3,8,3,2,2,-0.582596173884728,1,1,2,1,1,1,1,2,6,4
1,3,3,3,3,3,1,2,6,2,4,3,4,5,4,2,1,2,-0.909755899810721,3,2,1,2,4,5,5,5,1.54446636700984,2,1.66666666666667,3,4,3,4,3.66666666666667,6,7,6.5
1,3,3,3,2,2,1,1,7,3,4,2,7,7,7,1,1,2,-0.848605915111746,1,3,1,2,2,5,6,6,2.07623200223349,1,1,3,1,1,1,1,7,7,7
1,3,3,7,6,7,2,2,5,3,3,1,7,7,7,7,4,1,-0.604005976315849,5,2,1,1,7,1,2,1,-1.38024462672019,3,2.33333333333333,2.33333333333333,1,1,1,1,1,4,2.5
1,3,3,4,5,5,5,4,4,4,3,4,3,3,4,2,2,2,0.924743641158509,1,2,1,3,11,4,3,3,0.215052278950735,4,4.33333333333333,3.66666666666667,5,5,4,4.66666666666667,6,6,6
1,3,3,3,2,2,3,3,2,4,4,4,6,6,4,4,2,1,1.29164354935235,2,2,3,3,9,5,6,6,2.07623200223349,6,4,4,2,2,4,2.66666666666667,4,6,5
1,3,3,4,3,6,1,1,6,6,5,4,5,6,6,2,2,2,0.190943824770817,2,1,1,3,5,4,5,2,0.480935096562562,2,1.33333333333333,5,3,2,2,2.33333333333333,6,6,6
1,3,3,5,3,4,3,3,4,5,5,4,6,4,7,5,4,2,1.29164354935235,1,2,3,3,9,3,5,4,0.74681791417438,4,3.33333333333333,4.66666666666667,2,4,1,2.33333333333333,3,4,3.5
1,3,3,6,7,7,1,1,7,5,1,2,5,7,6,7,7,1,0.680143702362612,3,2,2,2,9,2,1,1,-1.38024462672019,1,1,2.66666666666667,3,1,2,2,1,1,1
2,1,4,5,7,5,1,2,6,2,1,1,6,7,7,7,6,1,-0.298256052820978,1,2,1,5,5,3,1,3,-0.582596173884728,2,1.66666666666667,1.33333333333333,2,1,1,1.33333333333333,1,2,1.5
